CODIGO MUNICIPIO;LATITUDE;LONGITUDE
311010;-20.69;-41.92
520440;-16.95;-51.81
430330;-28.28;-54.63
420310;-27.07;-53.24
430340;-27.27;-53.43
250360;-6.55;-35.41
240185;-5.07;-36.06
240190;-5.76;-35.99
240200;-6.45;-37.09
350900;-23.36;-46.74
290540;-13.48;-39.04
350910;-21.83;-51.99
350920;-23.35;-46.87
210240;-2.88;-44.67
210250;-3.32;-45.01
350925;-24.73;-48.12
250370;-6.88;-38.56
220207;-6.76;-42.39
250375;-6.96;-37.8
350930;-20.87;-48.8
270130;-9.39;-36.15
220208;-2.92;-41.33
311020;-20.79;-42.79
350940;-21.27;-47.3
260330;-8.74;-36.33
160020;2.49;-50.94
311030;-21.92;-46.38
250380;-7.1;-35.32
520450;-17.74;-48.62
520455;-16.71;-49
290550;-11.02;-40.3
220209;-7.33;-40.63
410350;-23.64;-51.35
420315;-26.6;-51.09
260340;-7.94;-38.15
290560;-15.41;-39.49
290570;-12.69;-38.32
311040;-20.62;-45.15
250390;-7.88;-36.82
290580;-13.94;-39.1
311050;-22.75;-46.14
500260;-19.53;-54.04
430350;-30.85;-51.81
260345;-8.02;-34.98
430355;-28.58;-52.2
410360;-23.04;-50.07
430360;-29.04;-50.14
410370;-23.27;-51.27
410380;-23.58;-51.57
420320;-27.02;-48.65
330090;-21.57;-41.91
311060;-22.61;-46.05
311070;-21.85;-45.29
150210;-2.24;-49.49
230260;-2.9;-40.84
260350;-8.35;-35.76
311080;-18.23;-41.74
311090;-21.83;-45.4
311100;-21.71;-46.24
270135;-8.84;-35.56
430367;-28.79;-51.09
520460;-16.76;-49.69
210255;-6.17;-47.36
410390;-24.59;-52.79
430370;-27.98;-54.83
350945;-23.59;-48.47
410395;-25.07;-51.82
250400;-7.23;-35.88
410400;-25.3;-49.05
311110;-19.53;-49.48
520465;-13.78;-48.57
510260;-14.51;-52.89
350950;-22.9;-47.06
220210;-7.65;-41.88
430380;-27.71;-52.62
520470;-14.31;-49.15
420330;-26.19;-49.26
270140;-9.78;-36.35
520480;-17.63;-47.78
290590;-9.51;-43.01
220211;-8.37;-41.83
311115;-16.5;-44.81
311120;-20.89;-45.27
420340;-27.89;-50.76
430390;-29.67;-51.05
410405;-25.03;-52.99
251640;-6.48;-35.63
280100;-10.73;-37.49
311130;-21.1;-45.83
410410;-25.97;-49.68
420350;-26.39;-53.07
311140;-19.76;-48.57
290600;-10.5;-40.32
500270;-20.44;-54.64
270150;-9.95;-36.79
220213;-7.13;-41.03
410420;-25.45;-49.52
220217;-3.81;-42.62
520485;-16.29;-49.08
350960;-23.2;-46.78
410425;-25.36;-49.45
220220;-4.82;-42.16
410430;-24.04;-52.38
430400;-27.67;-53.8
110070;-10.57;-63.62
510263;-13.67;-57.89
240210;-6.24;-36.18
510267;-15.54;-55.16
311150;-19.69;-46.17
520490;-13.03;-46.77
430410;-28.88;-52.99
510268;-13.89;-59.14
350970;-22.73;-45.59
330100;-21.75;-41.32
311160;-21.23;-45.75
170384;-7.99;-46.86
420360;-27.4;-51.22
350980;-22.6;-50
230270;-7.07;-40.37
520495;-14.25;-49.65
260360;-7.4;-35.27
311190;-21.02;-45.18
311170;-20.68;-42.61
150215;-6.49;-49.87
510269;-11.05;-51.83
350990;-25.01;-47.92
270160;-9.12;-37.6
311180;-18.72;-49.2
290610;-13.06;-44.2
510270;-13.55;-52.16
290620;-11.68;-41.76
350995;-22.7;-45.05
220225;-7.68;-43.72
290630;-15.67;-38.94
290640;-11.8;-39.11
311200;-20.76;-45.27
290650;-12.66;-38.55
110080;-8.79;-63.7
430420;-29.66;-52.78
290660;-14.41;-42.86
410440;-24.56;-51.33
430430;-27.95;-54.75
210260;-1.44;-45.71
351000;-22.74;-50.38
351010;-21.32;-48.63
290670;-15.5;-41.23
430435;-31.55;-53.67
410442;-25.66;-52.12
430440;-29.36;-50.81
420370;-27.26;-48.76
240220;-6.38;-35.12
430450;-31.39;-52.67
280110;-10.13;-36.98
260370;-8.88;-36.19
230280;-4.35;-39.31
280120;-9.64;-37.78
351015;-23;-49.78
430460;-29.91;-51.18
420380;-26.17;-50.38
290680;-10.67;-39.49
140017;2.6;-60.59
410445;-25.37;-52.12
330110;-21.98;-42.36
311205;-18.52;-42.62
210270;-3.63;-44.37
220230;-8.1;-42.94
290682;-9.96;-39.16
430461;-29.32;-52.23
130090;-6.53;-64.38
410450;-25.67;-53.8
150220;-1.19;-47.18
420325;-27.93;-50.51
351020;-24;-48.34
430462;-28.12;-51.39
430463;-29.76;-50.02
430465;-28.92;-54.69
430466;-31.76;-52.48
311210;-20.52;-41.9
280130;-10.5;-37.05
270170;-9.4;-36.07
430468;-29.7;-51.32
351030;-23.47;-47.73
290685;-11.66;-39.83
311220;-20.92;-43.61
311230;-17.69;-42.51
311240;-20.61;-47.05
250403;-6.91;-35.17
311250;-19.54;-44.11
290687;-11.38;-40.01
311260;-18.68;-49.56
420390;-27.34;-51.61
210275;-4.72;-44.32
230290;-4.46;-38.9
